ticker,stop_date
AGRT,2050-01-01
BESK,2050-01-01
BESKP,2050-01-01
CNTLP,2050-01-01
CHKZP,2050-01-01
DGBZ,2050-01-01
DSKY,2050-01-01
EVR,2050-01-01
LPSB,2050-01-01
MGNZ,2050-01-01
MZIK,2050-01-01
MZIKP,2050-01-01
NBAM,2050-01-01
NBAMP,2050-01-01
NOLE,2050-01-01
NOMP,2050-01-01
NOMPP,2050-01-01
NTZL,2050-01-01
OMZZ,2050-01-01
POSIP,2050-01-01
PRMB,2050-01-01
RDRBP,2050-01-01
SNTZ,2050-01-01
STSB,2050-01-01
TRNF,2050-01-01
TUMA,2050-01-01
TUMAP,2050-01-01
UDMN,2050-01-01
URAG,2050-01-01
VTGK,2050-01-01
VZRZ,2050-01-01
VZRZP,2050-01-01
BISV,2050-01-01
KTSB,2050-01-01
SVET,2050-01-01
SVETP,2050-01-01
MGNT,2050-11-01
GEMA,2050-11-01
BISVP,2050-11-01
X5,2026-07-01
EUTR,2027-01-01
SFIN,2027-01-01
VRSBP,2026-09-01
DVEC,2026-09-01
RZSB,2026-09-01
LSNGP,2026-09-01
MISBP,2026-09-01
KBSB,2026-09-01
KRSB,2026-09-01
KRSBP,2026-09-01
RTSBP,2026-09-01
DATA,2026-09-01
CNRU,2026-09-01
